t	S	I[0]	I[1]	I[2]	R
1	398	0		1		0		1
2	395	1		2		0		2
3	390	0		4		1		5
4	383	0		5		2		10
5	369	2		9		3		17
6	342	2		17		8		31
7	304	9		17		12		58
8	248	13		22		21		96
9	187	13		19		29		152
10	126	15		8		38		213
11	66	7		5		48		274
12	29	6		3		28		334
13	16	2		1		10		371
14	12	0		0		4		384
15	10	0		0		2		388
16	8	0		0		2		390
17	8	0		0		0		392
18	395	0		4		0		1
19	392	0		3		0		5
20	389	1		2		0		8
21	384	1		3		1		11
22	378	1		4		1		16
23	363	3		9		3		22
24	338	9		9		7		37
25	302	7		14		15		62
26	254	7		13		28		98
27	184	14		12		44		146
28	101	17		9		57		216
29	50	9		3		39		299
30	22	5		1		22		350
31	12	2		1		7		378
32	9	0		1		2		388
33	9	0		0		0		391
34	398	0		1		0		1
35	396	0		2		0		2
36	394	0		2		0		4
37	390	1		3		0		6
38	387	1		2		0		10
39	382	2		3		0		13
40	376	1		5		0		18
41	369	2		5		0		24
42	357	5		7		0		31
43	347	3		6		1		43
44	331	4		7		5		53
45	309	4		5		13		69
46	272	8		6		23		91
47	217	14		4		37		128
48	149	14		3		51		183
49	72	14		1		62		251
50	14	10		1		47		328
51	3	2		0		9		386
52	0	0		0		3		397
53	0	0		0		0		400
54	398	0		1		0		1
55	398	0		0		0		2
56	397	0		2		0		1
57	394	1		2		0		3
58	388	1		5		0		6
59	380	3		5		0		12
60	371	2		7		0		20
61	360	0		11		0		29
62	344	2		14		0		40
63	327	2		15		0		56
64	305	4		18		0		73
65	279	7		19		0		95
66	256	4		19		0		121
67	234	2		20		0		144
68	218	1		15		0		166
69	207	3		8		0		182
70	200	4		3		0		193
71	193	3		3		1		200
72	181	5		4		3		207
73	172	3		0		6		219
74	156	5		0		11		228
75	136	7		0		13		244
76	122	4		0		10		264
77	108	3		0		11		278
78	95	1		0		12		292
79	76	3		0		16		305
80	58	3		0		15		324
81	46	3		0		9		342
82	37	1		0		8		354
83	32	0		0		5		363
84	27	0		0		5		368
